"plant_number","plant_last_watered","record_soil_moisture","record_temperature","record_timestamp","plant_type_name","plant_type_scientific_name","plant_type_image_url","botanist_name","botanist_email","botanist_phone","city_name","city_latitude","city_longitude","country_name","country_capital","continent_name"
"29","2025-04-03 13:11:24","31.66","10.84","2025-04-03 09:28:56.000","Aloe Vera","Aloe vera","https://perenual.com/storage/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Ueno-ebisumachi","34.75856","136.13108","Japan","Tokyo","Asia"
"30","2025-04-03 13:55:19","35.16","14.51","2025-04-03 09:29:00.000","Ficus Elastica","Ficus elastica","https://perenual.com/storage/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Ajdabiya","30.75545","20.22625","Libya","Tripoli","Africa"
"31","2025-04-03 13:05:43","29.43","13.36","2025-04-03 09:28:57.000","Sansevieria Trifasciata","Sansevieria trifasciata","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Licheng","23.29549","113.82465","China","Shanghai","Asia"
"32","2025-04-03 14:29:54","32.06","10.61","2025-04-03 09:29:01.000","Philodendron Hederaceum","Philodendron hederaceum","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Gifhorn","52.47774","10.5511","Germany","Berlin","Europe"
"33","2025-04-03 14:05:58","32.25","13.55","2025-04-03 09:29:01.000","Schefflera Arboricola","Schefflera arboricola","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Bachhraon","28.92694","78.23456","India","Kolkata","Asia"
"34","2025-04-03 13:44:15","30.71","13.41","2025-04-03 09:29:04.000","Aglaonema Commutatum","Aglaonema commutatum","https://perenual.com/storage/species_image/625_aglaonema_commutatum/og/24798632751_3a039ecbc6_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Reus","41.15612","1.10687","Spain","Madrid","Europe"
"35","2025-04-03 13:32:46","29.15","12.93","2025-04-03 09:29:01.000","Monstera Deliciosa","Monstera deliciosa","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","La Ligua","-32.45242","-71.23106","Chile","Santiago","America"
"37","2025-04-03 14:23:43","34.55","11.09","2025-04-03 09:29:01.000","Psychopsis Papilio","","","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Malaut","30.21121","74.4818","India","Kolkata","Asia"
"38","2025-04-03 13:46:06","33.97","11.07","2025-04-03 09:29:05.000","Saintpaulia Ionantha","Saintpaulia ionantha","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Magomeni","-6.8","39.25","""Tanzania"," United Republic of""","Dar_es_Salaam"
"40","2025-04-03 14:05:38","35.48","9.09","2025-04-03 09:29:06.000","Amaryllis","Hippeastrum (group)","https://perenual.com/storage/image/upgrade_access.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Valence","44.92801","4.8951","France","Paris","Europe"
"41","2025-04-03 13:45:13","33.74","11.75","2025-04-03 09:29:03.000","Caladium Bicolor","Caladium bicolor","https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Pujali","22.4711","88.1453","India","Kolkata","Asia"
"42","2025-04-03 14:49:43","35.17","9.86","2025-04-03 09:29:05.000","Chlorophytum Comosum","Chlorophytum comosum 'Vittatum'","https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/og/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Smolyan","41.57439","24.71204","Bulgaria","Sofia","Europe"
"44","2025-04-03 13:32:40","31.57","9.57","2025-04-03 09:29:06.000","Araucaria Heterophylla","Araucaria heterophylla","https://perenual.com/storage/species_image/917_araucaria_heterophylla/og/49833684212_2aff9d7b3c_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Zacoalco de Torres","20.22816","-103.5687","Mexico","Mexico_City","America"
"45","2025-04-03 14:04:23","32.42","9.0","2025-04-03 09:29:03.000","Begonia","Begonia 'Art Hodes'","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","South Whittier","33.95015","-118.03917","United States of America","Los_Angeles","America"
"46","2025-04-03 14:12:39","36.11","13.32","2025-04-03 09:29:06.000","Medinilla Magnifica","Medinilla magnifica","https://perenual.com/storage/image/upgrade_access.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Salima","-13.7804","34.4587","Malawi","Blantyre","Africa"
"48","2025-04-03 14:31:09","33.32","14.89","2025-04-03 09:29:07.000","Zamioculcas Zamiifolia","Zamioculcas zamiifolia","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Calauan","14.14989","121.3152","Philippines","Manila","Asia"
"49","2025-04-03 14:02:15","31.96","9.39","2025-04-03 09:29:07.000","Crassula Ovata","Crassula ovata","https://perenual.com/storage/species_image/2193_crassula_ovata/og/33253726791_980c738a1e_b.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Acayucan","17.94979","-94.91386","Mexico","Mexico_City","America"
"1","2025-04-03 13:54:32","86.24","12.06","2025-04-02 17:47:30.000","Venus flytrap","","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","South Whittier","33.95015","-118.03917","United States of America","Los_Angeles","America"
"2","2025-04-03 14:10:54","88.17","9.21","2025-04-02 17:47:31.000","Corpse flower","","","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Efon-Alaaye","7.65649","4.92235","Nigeria","Lagos","Africa"
"3","2025-04-03 14:50:16","89.79","10.06","2025-04-02 17:47:29.000","Rafflesia arnoldii","","","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Resplendor","-19.32556","-41.25528","Brazil","Sao_Paulo","America"
"4","2025-04-03 13:16:25","83.83","11.37","2025-04-02 17:47:31.000","Black bat flower","","","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Ilopango","13.70167","-89.10944","El Salvador","El_Salvador","America"
"5","2025-04-03 14:56:18","90.28","11.24","2025-04-02 17:47:30.000","Pitcher plant","Sarracenia catesbaei","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Jashpurnagar","22.88783","84.13864","India","Kolkata","Asia"
"6","2025-04-03 13:35:35","85.99","11.01","2025-04-02 17:47:32.000","Wollemi pine","Wollemia nobilis","https://perenual.com/storage/image/upgrade_access.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Markham","43.86682","-79.2663","Canada","Toronto","America"
"8","2025-04-03 13:23:01","84.22","11.6","2025-04-02 17:47:32.000","Bird of paradise","Heliconia schiedeana 'Fire and Ice'","https://perenual.com/storage/image/upgrade_access.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Bonoua","5.27247","-3.59625","Côte d'Ivoire","Abidjan","Africa"
"9","2025-04-03 14:12:43","87.55","10.64","2025-04-02 17:47:30.000","Cactus","Pereskia grandifolia","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Weimar","50.9803","11.32903","Germany","Berlin","Europe"
"10","2025-04-03 13:04:57","83.65","13.98","2025-04-02 17:47:32.000","""Dragon tree","""","","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127",,"43.50891","16.43915","Croatia","Zagreb"
"11","2025-04-03 13:37:24","85.95","9.52","2025-04-02 17:47:30.000","Asclepias Curassavica","Asclepias curassavica","https://perenual.com/storage/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Kahului","20.88953","-156.47432","United States of America","Los_Angeles","America"
"12","2025-04-03 13:13:51","83.87","12.89","2025-04-02 17:47:32.000","Brugmansia X Candida","","","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Longview","32.5007","-94.74049","United States of America","Los_Angeles","America"
"13","2025-04-03 13:36:47","86.21","9.61","2025-04-02 17:47:31.000","Canna ‘Striata’","","","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Bensheim","49.68369","8.61839","Germany","Berlin","Europe"
"14","2025-04-03 14:17:54","88.17","13.22","2025-04-02 17:47:33.000","Colocasia Esculenta","Colocasia esculenta","https://perenual.com/storage/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Gainesville","29.65163","-82.32483","United States of America","Los_Angeles","America"
"15","2025-04-03 13:45:31","85.76","10.03","2025-04-02 17:47:31.000","Cuphea ‘David Verity’","","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Siliana","36.08497","9.37082","Tunisia","Tunis","Africa"
"16","2025-04-03 13:50:40","79.69","13.33","2025-04-02 17:47:33.000","Euphorbia Cotinifolia","Euphorbia cotinifolia","https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/og/51952243235_061102bd05_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Yonkers","40.93121","-73.89875","United States of America","Los_Angeles","America"
"18","2025-04-03 14:29:39","88.47","9.12","2025-04-02 17:47:36.000","Manihot Esculenta ‘Variegata’","","","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Oschatz","51.30001","13.10984","Germany","Berlin","Europe"
"19","2025-04-03 13:24:30","85.29","13.89","2025-04-02 17:47:34.000","Musa Basjoo","Musa basjoo","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Tonota","-21.44236","27.46153","Botswana","Gaborone","Africa"
"20","2025-04-03 14:49:34","89.56","8.67","2025-04-02 17:47:38.000","Salvia Splendens","Salvia splendens","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Reus","41.15612","1.10687","Spain","Madrid","Europe"
"21","2025-04-03 14:23:59","88.4","11.08","2025-04-02 17:47:35.000","Anthurium","Anthurium andraeanum","https://perenual.com/storage/species_image/855_anthurium_andraeanum/og/49388458462_0ef650db39_b.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Carlos Barbosa","-29.2975","-51.50361","Brazil","Sao_Paulo","America"
"22","2025-04-03 13:03:26","83.38","9.59","2025-04-02 17:47:37.000","Bird of paradise","Heliconia schiedeana 'Fire and Ice'","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Friedberg","48.35693","10.98461","Germany","Berlin","Europe"
"23","2025-04-02 14:56:47","90.16","11.48","2025-04-02 17:47:36.000","Cordyline Fruticosa","Cordyline fruticosa","https://perenual.com/storage/species_image/2045_cordyline_fruticosa/og/2560px-Cordyline_fruticosa_Rubra_1.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Charlottenburg-Nord","52.53048","13.29371","Germany","Berlin","Europe"
"24","2025-04-03 14:44:00","89.04","13.1","2025-04-02 17:47:38.000","Ficus","Ficus carica","https://perenual.com/storage/species_image/288_ficus_carica/og/52377169610_b7a247a378_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Motomachi","43.82634","144.09638","Japan","Tokyo","Asia"
"25","2025-04-03 13:58:41","87.06","11.63","2025-04-02 17:47:35.000","Palm Trees","","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Ar Ruseris","11.8659","34.3869","Sudan","Khartoum","Africa"
"26","2025-04-03 14:23:18","88.72","14.19","2025-04-02 17:47:38.000","Dieffenbachia Seguine","Dieffenbachia seguine","https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/og/24449059743_2aee995991_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","El Achir","36.06386","4.62744","Algeria","Algiers","Africa"
"27","2025-04-03 14:58:20","90.32","10.8","2025-04-02 17:47:35.000","Spathiphyllum","Spathiphyllum (group)","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Hlukhiv","51.67822","33.9162","Ukraine","Kiev","Europe"
"28","2025-04-03 14:37:02","88.57","12.44","2025-04-02 17:47:38.000","Croton","Codiaeum variegatum","https://perenual.com/storage/species_image/1999_codiaeum_variegatum/og/29041866364_2c535b2297_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Brunswick","43.91452","-69.96533","United States of America","Los_Angeles","America"
"29","2025-04-03 13:11:24","84.5","10.91","2025-04-02 17:47:36.000","Aloe Vera","Aloe vera","https://perenual.com/storage/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Ueno-ebisumachi","34.75856","136.13108","Japan","Tokyo","Asia"
"30","2025-04-03 13:55:19","87.16","14.55","2025-04-02 17:47:39.000","Ficus Elastica","Ficus elastica","https://perenual.com/storage/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Ajdabiya","30.75545","20.22625","Libya","Tripoli","Africa"
"31","2025-04-03 13:05:43","83.74","13.41","2025-04-02 17:47:37.000","Sansevieria Trifasciata","Sansevieria trifasciata","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Licheng","23.29549","113.82465","China","Shanghai","Asia"
"32","2025-04-03 14:29:54","88.2","10.64","2025-04-02 17:47:40.000","Philodendron Hederaceum","Philodendron hederaceum","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Gifhorn","52.47774","10.5511","Germany","Berlin","Europe"
"33","2025-04-03 14:05:58","87.09","13.61","2025-04-02 17:47:39.000","Schefflera Arboricola","Schefflera arboricola","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Bachhraon","28.92694","78.23456","India","Kolkata","Asia"
"34","2025-04-03 13:44:15","85.76","13.46","2025-04-02 17:47:42.000","Aglaonema Commutatum","Aglaonema commutatum","https://perenual.com/storage/species_image/625_aglaonema_commutatum/og/24798632751_3a039ecbc6_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Reus","41.15612","1.10687","Spain","Madrid","Europe"
"35","2025-04-03 13:32:46","84.9","13.01","2025-04-02 17:47:39.000","Monstera Deliciosa","Monstera deliciosa","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","La Ligua","-32.45242","-71.23106","Chile","Santiago","America"
"36","2025-04-03 14:09:55","87.72","12.38","2025-04-02 17:47:42.000","Tacca Integrifolia","Tacca integrifolia","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Dublin","32.54044","-82.90375","United States of America","Los_Angeles","America"
"37","2025-04-03 14:23:43","88.34","11.13","2025-04-02 17:47:40.000","Psychopsis Papilio","","","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Malaut","30.21121","74.4818","India","Kolkata","Asia"
"38","2025-04-03 13:46:06","86.51","11.11","2025-04-02 17:47:43.000","Saintpaulia Ionantha","Saintpaulia ionantha","https://perenual.com/storage/image/upgrade_access.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Magomeni","-6.8","39.25","""Tanzania"," United Republic of""","Dar_es_Salaam"
"39","2025-04-03 14:18:23","87.5","13.45","2025-04-02 17:47:42.000","Gaillardia","Gaillardia aestivalis","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Fujioka","36.24624","139.07204","Japan","Tokyo","Asia"
"40","2025-04-03 14:05:38","87.68","9.16","2025-04-02 17:47:43.000","Amaryllis","Hippeastrum (group)","https://perenual.com/storage/image/upgrade_access.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Valence","44.92801","4.8951","France","Paris","Europe"
"41","2025-04-03 13:45:13","86.43","11.84","2025-04-02 17:47:42.000","Caladium Bicolor","Caladium bicolor","https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Pujali","22.4711","88.1453","India","Kolkata","Asia"
"42","2025-04-03 14:49:43","89.69","9.9","2025-04-02 17:47:43.000","Chlorophytum Comosum","Chlorophytum comosum 'Vittatum'","https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/og/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Smolyan","41.57439","24.71204","Bulgaria","Sofia","Europe"
"44","2025-04-03 13:32:40","85.41","9.63","2025-04-02 17:47:43.000","Araucaria Heterophylla","Araucaria heterophylla","https://perenual.com/storage/species_image/917_araucaria_heterophylla/og/49833684212_2aff9d7b3c_b.jpg","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","Zacoalco de Torres","20.22816","-103.5687","Mexico","Mexico_City","America"
"45","2025-04-03 14:04:23","87.04","9.08","2025-04-02 17:47:43.000","Begonia","Begonia 'Art Hodes'","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","South Whittier","33.95015","-118.03917","United States of America","Los_Angeles","America"
"46","2025-04-03 14:12:39","88.12","13.38","2025-04-02 17:47:46.000","Medinilla Magnifica","Medinilla magnifica","https://perenual.com/storage/image/upgrade_access.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Salima","-13.7804","34.4587","Malawi","Blantyre","Africa"
"47","2025-04-03 13:30:18","77.94","13.38","2025-04-02 17:47:42.000","Calliandra Haematocephala","Calliandra haematocephala","https://perenual.com/storage/species_image/1477_calliandra_haematocephala/og/52063600268_834ebc0538_b.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Catania","37.49223","15.07041","Italy","Rome","Europe"
"48","2025-04-03 14:31:09","88.48","14.93","2025-04-02 17:47:45.000","Zamioculcas Zamiifolia","Zamioculcas zamiifolia","https://perenual.com/storage/image/upgrade_access.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Calauan","14.14989","121.3152","Philippines","Manila","Asia"
"49","2025-04-03 14:02:15","86.85","9.47","2025-04-02 17:47:44.000","Crassula Ovata","Crassula ovata","https://perenual.com/storage/species_image/2193_crassula_ovata/og/33253726791_980c738a1e_b.jpg","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Acayucan","17.94979","-94.91386","Mexico","Mexico_City","America"
"50","2025-04-03 14:03:04","86.95","13.23","2025-04-02 17:47:46.000","Epipremnum Aureum","Epipremnum aureum","https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Resplendor","-19.32556","-41.25528","Brazil","Sao_Paulo","America"
"1","2025-04-03 13:54:32","16.96","12.03","2025-04-03 13:20:36.000","Venus flytrap","","","Gertrude Jekyll","gertrude.jekyll@lnhm.co.uk","001-481-273-3691x127","South Whittier","33.95015","-118.03917","United States of America","Los_Angeles","America"
"2","2025-04-03 14:10:54","24.13","9.12","2025-04-03 13:20:40.000","Corpse flower","","","Carl Linnaeus","carl.linnaeus@lnhm.co.uk","(146)994-1635x35992","Efon-Alaaye","7.65649","4.92235","Nigeria","Lagos","Africa"
"3","2025-04-03 14:50:16","22.17","9.99","2025-04-03 13:20:35.000","Rafflesia arnoldii","","","Eliza Andrews","eliza.andrews@lnhm.co.uk","(846)669-6651x75948","Resplendor","-19.32556","-41.25528","Brazil","Sao_Paulo","America"
